"cou","countryUNen","countryUNfr"
"BOL","Bolivia","Bolivie"
"COD","Congo","Congo"
"FLK","Falkland Islands","Îles Falkland"
"FSM","Micronesia","Micronésie"
"GBR","United Kingdom","Royaume-Uni"
"HKG","Hong Kong","Hong Kong"
"IRN","Iran","Iran"
"LAO","Laos","Laos"
"MAC","Macao","Macao"
"MAF","Saint Martin","Saint-Martin"
"MKD","Macedonia","Macédonie"
"KOR","Korea","Corée"
"REU","Réunion","Réunion"
"SXM","Sint Maarten","Saint-Martin"
"TZA","Tanzania","Tanzanie"
"USA","United States","États-Unis"
"VEN","Venzuela","Venezuela"
